Model,Version_Used,Original_F1,Tuned_F1,Final_F1,Improvement,Selection_Reason,Final_Accuracy,Final_Precision,Final_Recall,Final_ROC_AUC
XGBoost,Tuned,0.6808163265306122,0.7199396909159442,0.7199396909159442,0.03912336438533204,Tuned shows significant improvement,0.6622727272727272,0.7126865671641791,0.7273419649657273,0.7534098783219749
Decision Tree,Original,0.7110266159695817,0.6949685534591195,0.7110266159695817,-0.016058062510462268,Original performs better,0.6545454545454545,0.7099468488990129,0.7121096725057121,0.6407222545166666
Random Forest,Tuned,0.6742712294043093,0.6840307429547395,0.6840307429547395,0.009759513550430254,Using tuned (improvement: +0.0098),0.6636363636363637,0.7784256559766763,0.6100533130236101,0.7352371695412538
Logistic Regression,Original,0.6837741808132649,0.6832543443917851,0.6837741808132649,-0.0005198364214797913,Original performs better,0.6359090909090909,0.7098360655737705,0.6595582635186595,0.7190732515277372
K-Nearest Neighbors,Original,0.6772655007949125,0.6813014504116033,0.6772655007949125,0.004035949616690737,Original performs better,0.6309090909090909,0.7082294264339152,0.6488956587966489,0.7014711097334693
